CampaignId,EntryNo,RegistrationNo,NoClaimBonus,InsCompany,InsId,FLData,FLResponse,FLStatus,PBVehicleId,SQRequest,SQResponse,SQStatus,SQCount
6418,SRT-0136866-01-R-4,GJ05JA8986,45,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6419,SRT-0290192-01-R-2,GJ05JA9341,35,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
6420,SRT-0412257-01-R-1,GJ05JA9799,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6421,SRT-0139815-01-R-4,GJ05JA9859,45,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
6422,SRT-0607209-01,GJ05JB0036,20,CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LTD,3,,,0,0,,,0,0
6423,SRT-0620396-01,GJ05JB0040,0,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6424,SRT-0200354-01-R-2,GJ05JB0303,45,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6425,SRT-0622460-01,GJ05JB1521,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6426,SRT-0270793-03-R-1,GJ05JB2244,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6427,SRT-0616772-01,GJ05JB7077,0,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6428,SRT-0200953-01-R-4,GJ05JB9322,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6429,SRT-0174139-01-R-3,GJ05JC7548,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6430,SRT-0275788-02-R-2,GJ05JD0989,35,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6431,SRT-0607331-01,GJ05JD4062,35,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
6432,SRT-0288595-01-R-2,GJ05JD4391,0,L AND T GENERAL INSURANCE COMPANY LTD,15,,,0,0,,,0,0
6433,SRT-0633107-01,GJ05JD4529,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
6434,SRT-0617993-01,GJ05JD4692,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6435,SRT-0414629-01-R-2,GJ05JD4945,0,CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LTD,3,,,0,0,,,0,0
6436,SRT-0619333-01,GJ05JD5143,35,CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LTD,3,,,0,0,,,0,0
6437,SRT-0414616-01-R-1,GJ05JE1051,35,CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LTD,3,,,0,0,,,0,0
6438,SRT-0412665-01-R-1,GJ05JE2259,35,FUTURE GENERALI INDIA INSURANCE COMPANY LTD,4,,,0,0,,,0,0
6439,SRT-0619420-01,GJ05JE6660,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6440,SRT-0094521-02-R-3,GJ05JE8087,25,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6441,SRT-0600174-01-ED-1,GJ05JE8343,20,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6442,SRT-0616716-01,GJ05JE8955,0,CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LTD,3,,,0,0,,,0,0
6443,MUM-0632693-01,MH04FF6905,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6444,MUM-0286467-01-R-2,MH04FF8152,35,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6445,NAS-0623603-01,MH04FF9648,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6446,MUM-0614464-01,MH04FF9734,35,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6447,MUM-0096607-02-R-2,MH04FW6000,20,ROYAL SUNDARAM GENERAL INSURANCE COMPANY LIMITED,6,,,0,0,,,0,0
6448,MUM-0408834-01-R-1,MH04GD2482,25,UNITED INDIA INSURANCE CO LTD,14,,,0,0,,,0,0
6449,MUM-0175535-06-R-2,MH04GD4950,35,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
6450,MUM-0597618-01,MH04GE1369,35,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6451,MUM-0286025-01-R-2,MH04GE1490,20,CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LTD,3,,,0,0,,,0,0
6452,MUM-0241477-01-R-3,MH04GE2173,0,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
6453,MUM-0606756-01,MH04GE2678,35,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6454,MUM-0291219-01-R-2,MH04GE2730,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6455,MUM-0293131-01-R-2,MH04GE4248,20,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6456,MUM-0264797-01-R-2,MH04GE9183,35,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
6457,MUM-0601232-01,MH04GF8122,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
6458,MUM-0278600-01-R-2,MH04GJ9327,20,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6459,MUM-0603959-01,MH04GM1846,25,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6460,MUM-0285624-01-R-2,MH04GM7416,25,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6461,MUM-0621010-01,MH04GZ0015,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6462,MUM-0621438-01,MH04GZ1404,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6463,MUM-0600647-01,MH05AX1712,0,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
6464,MUM-0287166-01-R-2-OP-1,MH05AX2090,35,SHAMAN CARS INDIA PVT LTD,6,,,0,0,,,0,0
6465,MUM-0134154-01-R-5,MH05AX7573,50,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6466,MUM-0629888-01,MH05BH3901,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
6467,MUM-0407865-01-R-1,MH05BR0028,25,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6468,MUM-0208701-01-R-3,MH05BS3766,0,ROYAL SUNDARAM ALLIANCE INSURANCE COMPANY LTD,10,,,0,0,,,0,0
6469,MUM-0285537-01-R-2,CH01AT6116,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6470,CHND-0647174-01,ch01az0014,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
6471,MUM-0157928-04,DD03F2814,25,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6472,MUM-0409922-01-R-1,DD03H0935,25,FUTURE GENERALI INDIA INSURANCE COMPANY LTD,4,,,0,0,,,0,0
6473,SRT-0622406-01,DD03H2499,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6474,DEL-0602215-01,dl01cm4323,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6475,DEL-0450317-01-R-1,DL01CP0816,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6476,DEL-0291097-01-R-2-ED-1,DL01CQ1326,35,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6477,DEL-0393029-02-R-1,DL01CT3981,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6478,DEL-0602575-01,DL01CT4044,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6479,DEL-0453918-01-R-1,DL01CT5477,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6480,RJK-0197221-01-R-2,GJ03ER6257,35,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
6481,RJK-0205892-01-R-3,GJ03ER6597,20,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6482,RJK-0211746-01-R-3,GJ03ER7426,0,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6483,RJK-0620757-01,GJ03ER7606,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6484,RJK-0210767-01-R-3,GJ03FD0405,0,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
6485,RJK-0019740-02-R-2,GJ03FD1771,35,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6486,RJK-0207702-01-R-3,GJ03FD2002,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6487,AHD-0091766-02-R-2,GJ03FD4746,0,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
6488,RJK-0289279-01-R-2,GJ03FK0259,20,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6489,RJK-0001966-02-R-3,GJ03FK0420,25,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6490,RJK-0293627-01-R-2,GJ03FK1795,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6491,RJK-0292822-01-R-2,GJ03FK2606,20,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6492,RJK-0283538-01-R-3,GJ03FK2730,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6493,RJK-0294796-01-R-2,GJ03HA0171,25,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6494,AHD-0630542-01,GJ03HA0345,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6495,RJK-0415564-01-R-1,GJ03HA1908,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
6496,RJK-0297299-01-R-2,GJ03HA3330,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6497,RJK-0213162-02-R-2,GJ03HA3600,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6498,AHD-0292650-01-R-2,GJ03HA4599,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6499,RJK-0292708-01-R-2,GJ03HA5222,0,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6500,RJK-0291599-01-R-2,GJ03HA6699,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6501,RJK-0410268-01-R-2,GJ03HK2578,0,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6502,RJK-0408671-01-R-1,GJ03HK2858,0,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6503,RJK-0413003-01-R-1,GJ03HK3565,20,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6504,RJK-0410483-01-R-1,GJ03HK4194,0,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6505,RJK-0450244-02-R-1,GJ03HK4220,0,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6506,RJK-0407596-01-R-1,GJ03HK5080,20,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6507,RJK-0449523-01-R-1,GJ03HK5753,20,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6508,RJK-0408193-01-R-1,GJ03HK6007,20,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6509,RJK-0453047-01-R-1,GJ03HK6538,20,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6510,RJK-0093686-02-R-1,GJ03HK7542,20,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6511,RJK-0451461-01-R-1,GJ03HK9770,20,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6512,BHAV-0071297-02-R-5,GJ04BE5551,35,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
6513,BHAV-0212712-01-R-3,GJ04BE8612,35,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6514,RJK-0104497-01-R-5,GJ04BE9522,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6515,RJK-0598757-01,GJ04CJ8181,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6516,BHAV-0015505-01-R-8,GJ04D5303,50,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6517,MUM-0137883-01-R-4,MH04CM8996,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6518,MUM-0288543-01-R-2,MH04DN2544,25,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6519,MUM-0001240-04-R-1,MH04DN5665,50,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
6520,MUM-0076897-01-R-6,MH04DW5166,50,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6521,MUM-0607401-01,MH04DY1468,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6522,MUM-0401476-01-R-1,MH04DY1662,50,ROYAL SUNDARAM ALLIANCE INSURANCE COMPANY LTD,10,,,0,0,,,0,0
6523,MUM-0136188-01-R-3,MH04DY2759,50,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6524,MUM-0056608-01-R-3,MH04EA4343,50,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6525,MUM-0195902-01-R-3,MH04EH1409,25,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
6526,MUM-0613968-01,MH04EH1438,20,CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LTD,3,,,0,0,,,0,0
6527,MUM-0125261-07,MH04EH3117,50,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
6528,MUM-0135083-01-R-4,MH04EH3373,50,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6529,NAS-0618454-01,MH04EL2349,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6530,MUM-0065007-03-R-2,MH04EX2484,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6531,MUM-0101838-01-R-5,MH04EX3178,0,ROYAL SUNDARAM ALLIANCE INSURANCE COMPANY LTD,10,,,0,0,,,0,0
6532,MUM-0604806-01-ED-1,MH04EX3401,0,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6533,MUM-0207287-01-R-3,MH04EX4376,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6534,MUM-0294489-01-R-2,MH04EX6064,0,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
6535,MUM-0619612-01,MH04FA1256,50,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6536,MUM-0366662-01-R-1-ED-1,MH04FA7645,20,L AND T GENERAL INSURANCE COMPANY LTD,15,,,0,0,,,0,0
6537,MUM-0588867-01,MH03AW3472,50,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6538,MUM-0604124-01,MH03AW3881,50,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
6539,MUM-0408261-01-R-1,MH03AW4043,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6540,MUM-0416327-01-R-1,MH03AW4656,45,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6541,MUM-0631687-01,MH03AZ2998,0,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
6542,MUM-0288255-01-R-2,MH03AZ6658,45,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
6543,AHD-0620739-01,GJ01RF6918,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6544,AHD-0295299-01-R-2,GJ01RF7181,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6545,AHD-0296892-01-R-3,GJ01RF7349,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6546,AHD-0118331-02,GJ01RF7965,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6547,AHD-0623424-01-ED-2,GJ01RF8371,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6548,AHD-0297849-01-R-2,GJ01RF8422,20,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6549,AHD-0605238-02,GJ01RG0001,20,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6550,AHD-0287689-07-R-2,GJ01RG0080,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6551,AHD-0286525-01-R-3,GJ01RG1026,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6552,AHD-0087386-02-R-1,GJ01RG1990,0,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6553,AHD-0605815-01,GJ01RG2571,25,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6554,AHD-0286739-01-R-2,GJ01RG3114,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6555,AHD-0623101-01,GJ01RG9669,0,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6556,AHD-0414300-01-R-1,GJ01RH0140,0,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
6557,AHD-0603448-01,GJ01RJ8545,20,CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LTD,3,,,0,0,,,0,0
6558,AHD-0599776-01,GJ01RK4522,20,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
6559,AHD-0408491-01-R-1,gj01rk5564,0,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6560,AHD-0615973-01,GJ01RK5636,20,LIBERTY VIDEOCON GENERAL INSURANCE COMPANY LTD,33,,,0,0,,,0,0
6561,AHD-0618044-01,GJ01RK6785,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6562,AHD-0616614-01,GJ01RK6923,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6563,AHD-0619007-01,GJ01RK7254,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6564,AHD-0277320-05,GJ01RK7289,0,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6565,AHD-0616648-01,GJ01RK7567,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6566,AHD-0604040-01,GJ01RK7726,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6567,AHD-0620122-01,GJ01RK7862,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6568,AHD-0604655-01,GJ01RK8214,20,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
6569,AHD-0451103-01-R-1,GJ01RK8737,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6570,AHD-0451290-01-R-1,GJ01RK9474,20,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6571,AHD-0450441-01-R-1,GJ01RK9480,0,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6572,AHD-0407557-01-R-1,GJ01RL0025,0,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6573,AHD-0632147-01,GJ01RL0320,0,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6574,AHD-0416396-01-R-1,GJ01RL0877,20,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6575,AHD-0615229-01,GJ01RL2716,20,LIBERTY VIDEOCON GENERAL INSURANCE COMPANY LTD,33,,,0,0,,,0,0
6576,AHD-0414399-01-R-1,GJ01RL2729,0,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6577,AHD-0086189-05-R-1,GJ01RL2959,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6578,AHD-0606278-01,GJ01RL6677,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6579,AHD-0621435-01,GJ01RL6893,45,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6580,MUM-0168638-02,GJ01RL8574,20,LIBERTY VIDEOCON GENERAL INSURANCE COMPANY LTD,33,,,0,0,,,0,0
6581,AHD-0622472-01,GJ01RL9373,20,LIBERTY VIDEOCON GENERAL INSURANCE COMPANY LTD,33,,,0,0,,,0,0
6582,AHD-0415064-01-R-1,GJ01RL9380,0,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6583,AHD-0606769-01,GJ01RL9559,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6584,AHD-0040579-27,GJ01RL9799,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6585,AHD-0416602-01-R-1,GJ01RM3435,20,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6586,AHD-0449932-01-R-1,GJ01RM5566,20,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6587,GNDH-0618188-01,GJ01ZBR4100,35,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6588,AHD-0016581-01-R-8,GJ02AC4313,50,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6589,AHD-0056681-01-R-7,GJ02AP0482,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6590,MUM-0009899-02,MH02BR1733,20,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6591,MUM-0100570-01-R-5,MH02BR1917,25,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6592,MUM-0603163-01,MH02BR2676,20,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6593,MUM-0603163-02,MH02BR2676,20,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6594,MUM-0599234-01,MH02BR3781,0,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6595,MUM-0048538-02-R-3,MH02BR4113,50,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6596,MUM-0622955-01,MH02BR4714,0,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6597,MUM-0619791-01,MH02BR5487,0,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6598,MUM-0197619-02,MH02BT2456,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
6599,MUM-0286879-01-R-2,MH02BY4458,45,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6600,MUM-0398095-01-R-1,MH02BY5297,20,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
6601,MUM-0135133-01-R-4,MH02BY5790,25,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6602,MUM-0125363-01-R-5,MH02BY7297,45,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6603,MUM-0606797-01,MH02BY7564,35,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
6604,PUN-0103732-01-R-5,MH02BY9386,50,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6605,MUM-0079615-01-R-6,MH02BY9533,45,THE ORIENTAL INSURANCE CO LTD,13,,,0,0,,,0,0
6606,MUM-0449813-01-R-1,MH02BY9757,50,ROYAL SUNDARAM ALLIANCE INSURANCE COMPANY LTD,10,,,0,0,,,0,0
6607,MUM-0055620-13-R-5,MH02CB1171,0,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6608,MUM-0176454-01-R-2,MH02CB4657,0,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6609,MUM-0614453-01,MH02CL4824,0,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6610,MUM-0601124-01,MH02CL6359,45,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6611,MUM-0603156-01,MH02CL8051,20,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6612,MUM-0138150-01-R-2,MH02CL9038,20,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
6613,MUM-0621839-01,MH03BS2504,20,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6614,MUM-0411235-01-R-1,MH03BS2854,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6615,MUM-0602427-01,MH03BS3406,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
6616,MUM-0602222-01,MH03BW3781,20,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6617,MUM-0614535-01,MH03BW4058,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6618,MUM-0414505-01-R-1,MH03BW4673,20,LIBERTY VIDEOCON GENERAL INSURANCE COMPANY LTD,33,,,0,0,,,0,0
6619,MUM-0449710-01-R-1,MH03BW4787,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6620,MUM-0452061-01-R-1,MH03BW5085,0,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6621,MUM-0145247-20,MH03BW5967,20,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
6622,MUM-0483151-02,MH03BW8367,0,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
6623,MUM-0416113-01-R-1,MH03DS2676,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6624,MUM-0345454-02,MH03TRN463,20,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
